Food Item,Quantity,Unit,Multiplicity,calcium,calories,carbohydrate,cholesterol,fat,fiber,iron,measurement_description,monounsaturated_fat,number_of_units,polyunsaturated_fat,potassium,protein,saturated_fat,sodium,sugar,trans_fat,vitamin_a,vitamin_c
carrots,777.0,grams,0.0,3,41,9.58,0,0.24,2.8,2,g,0.014,100.000,0.117,320,0.93,0.037,69,4.54,0,93,7
peaches,1151.0,grams,0.0,0,39,9.54,0,0.25,1.5,1,g,0.067,100.000,0.086,190,0.91,0.019,0,8.39,,2,7
red tomatoes,773.0,grams,0.0,1,18,3.92,0,0.20,1.2,2,g,0.051,100.000,0.135,237,0.88,0.046,5,2.63,,5,14
cucumbers,829.0,grams,0.0,1,15,3.63,0,0.11,0.5,2,g,0.003,100.000,0.053,147,0.65,0.034,2,1.67,,1,3
red onions,863.0,grams,0.0,2,42,10.11,0,0.08,1.4,1,g,0.023,100.000,0.062,144,0.92,0.026,3,4.28,,0,7
zucchini,630.0,grams,2.0,1,16,3.35,0,0.18,1.1,2,g,0.014,100.000,0.076,262,1.21,0.037,10,1.73,,1,19
eggplant,713.0,grams,2.0,1,24,5.70,0,0.19,3.4,1,g,0.016,100.000,0.076,230,1.01,0.034,2,2.35,,0,2
spring onions,710.0,grams,0.0,6,32,7.34,0,0.19,2.6,8,g,0.027,100.000,0.074,276,1.83,0.032,16,2.33,,6,21
yellow onions,699.0,grams,3.0,2,42,10.11,0,0.08,1.4,1,g,0.023,100.000,0.062,144,0.92,0.026,3,4.28,,0,7
potatoes,709.0,grams,4.0,1,149,20.06,0,7.00,2.5,5,g,2.329,100.000,3.442,483,2.32,0.900,101,0.90,,0,20
bananas,1080.0,grams,6.0,0,89,22.84,0,0.33,2.6,1,g,0.032,100.000,0.073,358,1.09,0.112,1,12.23,,0,10
green salad,632.0,grams,1.0,4,17,3.20,0,0.24,2.0,6,g,0.008,100.000,0.114,291,1.52,0.038,29,0.88,,28,18
garlic,245.0,grams,4.0,14,149,33.06,0,0.50,2.1,9,g,0.011,100.000,0.249,401,6.36,0.089,17,1.00,,0,35
parsley,93.0,grams,1.0,11,36,6.33,0,0.79,3.3,34,g,0.295,100.000,0.124,554,2.97,0.132,56,0.85,,47,148
mint,72.0,grams,1.0,19,70,14.89,0,0.94,8.0,28,g,0.033,100.000,0.508,569,3.75,0.246,31,,,24,35
coriander,60.0,grams,1.0,5,23,3.67,0,0.52,2.8,10,g,0.275,100.000,0.040,521,2.13,0.014,46,0.87,,37,30
